Gene	Category	DMSO	Size	rho	p	FDR	depleted	enriched
DYRK1A	Other	0.248255868188776	10	0.00311284660857351	0.0393249969004056	0.137210450016964	NA	84
HMGN5	Other	0.336681619218111	10	0.00312035907878083	0.0393958447723127	0.137210450016964	NA	85
SIRT1	Other	0.372725861494276	10	0.00313769811493315	0.0395552524841035	0.137337802103192	NA	86
SPIN2A	Other	0.326119568564348	10	0.00315269130964961	0.0397500841318479	0.137586978512093	NA	87
NEUROD1	Other	0.386964925193338	10	0.00317728356443567	0.0400334756194761	0.13814020290918	NA	88
PSMD11	Essential	-0.749715396951239	10	0.00323016836229089	0.0405559786747906	0.13951256664128	237	NA
SPOP	Other	0.369727243891808	10	0.00335948996284332	0.0418046724171523	0.143366944056369	NA	89
TADA2B	Other	0.35377333765532	10	0.00337319856817056	0.0419552241449547	0.14344324340691	NA	90
PCGF3	Other	0.276200368149527	10	0.00344417502108936	0.0426637028640252	0.145420792079208	NA	91
MTF2	Other	0.349481632202203	10	0.00353891431963337	0.0437618448785845	0.148290508809189	NA	92
AFF2	Other	0.305461270107165	10	0.0035537810578276	0.0439035406223986	0.148290508809189	NA	93
KDM8	Other	0.36828113191812	10	0.00355557596573291	0.0439035406223986	0.148290508809189	NA	94
MBD1	Other	-0.432784743413023	10	0.00361382586435659	0.0444437556456898	0.149663008469522	238	NA
HDAC8	Other	0.242892669377017	10	0.003664375029056	0.0448776988611205	0.150670472452651	NA	95
EZH2	Other	0.345933607434547	10	0.00368354581843631	0.0451079544448184	0.150775823851042	NA	96
ATRX	Other	-0.307777310644226	10	0.00369383882060601	0.0451788023167254	0.150775823851042	239	NA
TDRD1	Other	0.305667108029484	10	0.00375334194524767	0.0458075771799005	0.152419259783121	NA	97
BTRC	Other	-0.215564508711724	10	0.0037872403367281	0.0461706725234241	0.153171548608867	240	NA
SFMBT2	Other	0.216594557559192	10	0.00389006373903772	0.0474193662657858	0.156848673032984	NA	98
PARP2	Other	-0.196853056866315	10	0.00397985182706906	0.0485263642643334	0.160036800140191	241	NA
PHC1	Other	0.328828034350468	10	0.00399129095978798	0.0486857719761243	0.160090273733256	NA	99
PRKCA	Other	0.302324845253442	10	0.00401675550072779	0.0488983155918454	0.160317644667693	NA	100
METTL8	Other	0.282440205613947	10	0.00404680410938801	0.0491551391275085	0.160688437264779	NA	101
PHIP	Other	0.279547781148741	10	0.00411072766700767	0.0499610336704511	0.162846751147418	NA	102
NAT6	Other	-0.117515349788088	10	0.00416734300303384	0.0506163764855913	0.164503223578172	242	NA
ERCC2	Other	-0.291538372797868	10	0.00419764605158502	0.0509174799411963	0.165002152389152	243	NA
JAK2	Other	0.239703950932201	10	0.00438902623000735	0.0530340601144193	0.171364390774338	NA	103
ERCC6	Other	0.319765218320543	10	0.0044426240597961	0.0535565631697338	0.172553998915742	NA	104
MORF4L1	Other	-0.109220755155469	10	0.00458605490083324	0.0549469526559096	0.176524980084215	244	NA
RNF2	Other	0.321419360379686	10	0.00465574838000272	0.0556908553109336	0.178402224176572	NA	105
CBLL1	Other	0.318693280872347	10	0.00474057713095556	0.0565587417417949	0.18015006628868	NA	106
USP38	Other	0.323265331437673	10	0.00474058546413191	0.0565587417417949	0.18015006628868	NA	107
HMG20A	Other	-0.302928755078537	10	0.00477926242773394	0.0569838289732372	0.180988411341134	245	NA
USP45	Other	0.363633838389999	10	0.00499036572949867	0.0593129527621814	0.187852354640563	NA	108
JMJD1C	Other	-0.0965618406650696	10	0.00506317113832975	0.0601365592731008	0.189922805839906	246	NA
CDK17	Essential	0.330349323034279	10	0.00513143638822424	0.0609335978320551	0.191897922186585	NA	109
EPC2	Other	-0.404833326577347	10	0.00515584227358927	0.0611284294797995	0.191970742018022	247	NA
ZRSR2	Other	-0.635296174678272	10	0.0052314422947871	0.0618900441028003	0.193818121307929	248	NA
KAT8	Other	-0.407019539688328	10	0.00527171715751009	0.062279707398289	0.19449361137231	249	NA
SPIN4	Other	0.329745248778382	10	0.00537093914331048	0.0632272976850458	0.196740924092409	NA	110
CBX7	Other	0.302099258386133	10	0.00538094339861159	0.0633512814608831	0.196740924092409	NA	111
MSL1	Other	-0.225960104245201	10	0.00549522809956701	0.0644228555234772	0.199514549792929	250	NA
EP400	Other	-0.428940347306632	10	0.00553066714612175	0.0647948068509892	0.200112138285652	251	NA
PPARGC1A	Other	0.274691214131418	10	0.00569858990266143	0.0666368515205725	0.205234159779614	NA	112
PTPN2	Other	0.291937985244395	10	0.0057614192173795	0.0673453302396429	0.206846371450332	NA	113
DIDO1	Other	-0.303880070228366	10	0.00590972662533175	0.068903983421598	0.210937077314289	252	NA
ZNF217	Other	-0.272237102981789	10	0.00592873560694192	0.0690545351494005	0.210937077314289	253	NA
ZMYND11	Other	0.313979983778315	10	0.00596660738069862	0.0695416142687614	0.211846116491758	NA	114
CUL4A	Other	-0.297507771764216	10	0.00627644325983832	0.0728271843284507	0.221252152389152	254	NA
USP36	Other	-0.395884848508222	10	0.00644111063771167	0.0745363892382083	0.225831119697336	255	NA
TET1	Other	0.348664674141512	10	0.00651533411134576	0.075298003861209	0.227522076531978	NA	115
PIK3R1	Other	0.356190543241553	10	0.00666930914530782	0.0768035211392338	0.231445651303675	NA	116
MLLT3	Other	0.282321146715362	10	0.00675047917928744	0.0777776793779557	0.233751197700415	NA	117
PSMA1	Essential	-0.626998352926675	10	0.00677942078429076	0.0780610708655839	0.233973933586388	256	NA
ING3	Other	-0.19970266338999	10	0.0068813128774936	0.0789909491843639	0.236128024567163	257	NA
MYSM1	Other	-0.157033530193051	10	0.00691368729958601	0.0793274765759223	0.236501650165016	258	NA
BIRC3	Other	0.312105049900544	10	0.00702539193291022	0.0803370587505978	0.238874552348852	NA	118
DAPK3	Other	0.0582832570901942	10	0.00714656730798388	0.0814263447811686	0.241225313007491	NA	119
DYRK3	Other	0.333475548472934	10	0.00716091658383475	0.0815591845409944	0.241225313007491	NA	120
PCGF5	Other	0.302695529021278	10	0.00727821924857746	0.0829407180431818	0.244332985930172	NA	121
CBL	Other	0.214069430620251	10	0.00728983839065068	0.0830469898510423	0.244332985930172	NA	122
SMARCE1	Other	0.186596457426499	10	0.00733162211103474	0.0835340689704033	0.245120968789792	NA	123
TAF4	Other	-0.23279991025718	10	0.00743557090426622	0.084410811385253	0.246632887831864	259	NA
KDM3B	Other	-0.109633528556118	10	0.00744607547260625	0.0844905152411485	0.246632887831864	260	NA
STK17A	Other	0.316139779916012	10	0.00750679572448578	0.0850661542003932	0.247666563531353	NA	124
MALT1	Other	0.147703271092276	10	0.00766562190925477	0.0866867992702669	0.251359462371108	NA	125
PARP12	Other	0.19654253094797	10	0.00768042391114027	0.0867842150941391	0.251359462371108	NA	126
CDK9	Other	0.0263244612729608	10	0.00775079261077559	0.0875546857011282	0.252935758692148	NA	127
HIST1H1E	Other	-0.305169383598832	10	0.00782185825029775	0.0883074443401406	0.254452893742983	261	NA
USP26	Nonessential	0.288648415892422	10	0.00798782555889497	0.0897952496501886	0.257692307692308	NA	128
WDR82	Other	-0.242543170727201	10	0.00799899673087905	0.0898926654740608	0.257692307692308	262	NA
PRDM12	Other	-0.207172484528718	10	0.00807757116675384	0.0906011441931313	0.259059026107214	263	NA
HMGN4	Other	0.211472532119059	10	0.00819096927120309	0.091849837935493	0.261959486765003	NA	129
CDKN1B	Other	0.199551650217923	10	0.00831628072017955	0.0928859880621336	0.263997084987687	NA	130
PRDM6	Other	0.205886533728683	10	0.00832888780451622	0.0930365397899361	0.263997084987687	NA	131
LEO1	Other	0.328516259106125	10	0.0084755279823921	0.0943560814042048	0.267063541797218	NA	132
BRWD1	Other	0.205173763461719	10	0.00858680385488245	0.0952859597229848	0.269014401440144	NA	133
HMGN3	Other	0.301607747165422	10	0.00863443370737714	0.0957907508103225	0.269080551271208	NA	134
SUPT7L	Other	-0.0402486686409837	10	0.00863443370737714	0.0957907508103225	0.269080551271208	264	NA
H2BFM	Nonessential	0.210773238920416	10	0.00867529903051995	0.0961804141058113	0.269498002431822	NA	135
