Gene	Category	H2171.DMSO.18.R1.0	H2171.DMSO.18.R2.0	H2171.DMSO.18.R3.0	H2171.Plasmid.0.R1.0	H2171.PRMT5.18.R1.0	H2171.PRMT5.18.R2.0	H2171.PRMT5.18.R3.0
SMARCA2	Other	-0.105397096635423	-0.100928091725596	-0.146521342352661	-0.225606246742993	0.106636458919641	-0.0473230621639379	-0.0159550985827343
SMARCA4	Other	0.854153952583405	0.605442851327192	0.975282659837738	0.0423539537941827	0.936684060465737	0.625319880635475	0.944608868441196
SMARCA5	Other	-0.423987249214236	-0.342806517040729	-0.470390932413243	-0.067956816934801	-0.801873761627378	-0.396162071046601	-0.313742757552115
SMARCAD1	Other	0.191446189582248	0.700188430067352	0.393701522295796	0.00677690535794054	0.591194554792466	0.468264919462503	0.576961250742359
SMARCAL1	Other	0.352268216863282	0.235025334186848	0.288280006533303	0.255985691345629	0.247724543591886	0.542039646639599	0.238489881722096
SMARCB1	Other	0.937946970843766	0.687858671175818	0.763054196474985	0.0231516334835513	1.07010650777376	0.847569068518891	0.936307624598963
SMARCC1	Other	0.757136816158092	0.482806514307695	0.618127853692082	-0.0357669648400697	0.744064801327827	0.821253323034552	0.619385402814642
SMARCC2	Other	0.264762769612304	0.562149030681157	0.408976394607359	0.132461336994147	0.277812670167789	0.530531347428725	0.532718334085662
SMARCD1	Other	0.343188400095831	0.186327550555869	0.254866926083164	0.0886291251439667	0.214065059328655	0.216523175596946	0.0803287251638158
SMARCD2	Other	-0.00926606549648474	0.0534532210337748	0.10689686323515	-0.0247051273661254	-0.139530958839094	-0.21272805105893	-0.151406742124996
SMARCD3	Other	-0.0704261612711954	0.0208089888765989	-0.0751168550563415	0.0114866160453738	0.0508889695849493	0.147766779940926	-0.023275060370628
SMARCE1	Other	0.218147390472262	-0.0128632815731535	0.293757796983913	-0.0202491554654918	0.0419997035860313	0.150285062919721	0.135604778949309
SMC1A	Other	-1.36293947518817	-1.03777184809844	-1.44596303465211	-0.499373471603414	-0.767933014716067	-0.984820966152169	-0.970367689905881
SMEK1	Other	0.299480885520566	0.412033488241779	0.22721137358522	0.239190083973721	0.279173869883792	0.26441054410185	0.274537955470355
SMEK2	Other	0.0820116379546768	0.196182581417846	0.10378415183571	0.130587437377471	0.046961652083582	0.242363205458469	-0.0320155774482907
SMN1	Other	-1.18102167801938	-1.39956518318639	-0.951793300364565	-0.0760571170693322	-0.812785741072864	-1.36840538936957	-1.09902484734978
SMN2	Other	-0.580990466790772	-0.482944690159826	-0.3526518100567	0.120479735121121	-0.6441836823943	-0.509638008350929	-0.420298835961067
SMNDC1	Other	-1.45757885877967	-1.07619767010408	-1.09699273892987	-0.422851924694012	-1.53213313777347	-1.53035297470628	-1.55181671309128
SMO	Other	-0.00971739580850987	0.209497266251711	-0.00355073491995782	0.0163833256277008	0.28807861931159	0.231309076714824	0.0241461332933761
SMURF1	Other	-0.040157483246651	-0.321136042002221	-0.199144462871387	0.0310076953885961	-0.261739292312313	-0.0128395068941355	-0.0759726113173168
SMURF2	Other	-0.0183402139405416	0.0225316496670584	-0.0676647609554805	-0.0686587553073772	-0.191579956892811	0.0412755593705419	-0.0597122639091451
SMYD1	Other	0.222277962342212	0.247464317228423	0.0598693592155247	-0.0168620380850723	0.190729934211248	0.258169408068253	0.332593637632252
SMYD2	Other	0.440064322246469	0.39513870283478	0.276425402161376	0.20186051459123	0.397612995047288	0.44789455554408	0.105764358743503
SMYD3	Other	0.179452500175567	0.115036064561068	0.0863693776160699	0.073901602760282	0.143985508049538	0.21190271604358	-0.0150266682107428
SMYD4	Other	0.491528015969596	0.33942051299783	0.235957157772426	0.193110179052168	0.376196684403168	0.321093604470197	0.20065513560828
SMYD5	Other	0.346493098645666	0.297940491146853	0.386708459367525	0.104311742267389	0.245171051998219	0.151296208647369	0.492925107679203
SND1	Other	0.5094334809961	0.400460000528082	0.323405311129358	0.187207832463447	0.420012248025599	0.353312362268576	0.411344544229672
SNRK	Other	0.252973808193172	0.346272732054848	0.411173248716286	0.328675794615665	0.26041426488991	0.445667980892223	0.402449664597905
SNRNP200	Essential	-1.52483274847271	-1.49367529789612	-1.36967564724274	0.246570586979885	-1.52340038270088	-1.14746830451423	-1.26003779200051
SNRNP70	Other	-0.688121350989269	-1.09048784310474	-0.804466750049864	-0.0347602797242577	-0.907243477822012	-0.845601158870879	-0.777140417153713
SNRPD2	Essential	-0.641616598323183	-0.626962148578138	-0.490020875435603	0.4264298604649	-0.526377140081857	-0.623312329456955	-0.542660160437842
SOCS1	Other	0.258809615846764	0.149492571958881	0.0571765350976958	0.281552764776557	0.215669379642334	0.17376290710587	0.139180304797408
SOX17	Other	0.176547579639706	0.322776820949726	0.331835594857596	0.400678364162619	0.234092730707001	0.480785219995132	0.514762313350117
SP100	Other	-0.371522495008329	-0.291270866934797	-0.415359433702759	-0.369267252291819	-0.299420371766725	-0.458458427036218	-0.454618908939452
SP110	Other	-0.216251827231214	-0.271898915291484	-0.392820774014792	-0.178039251134545	-0.222021118041967	-0.183757460390907	-0.157651194965463
SP140	Other	-0.264141515737306	-0.493674341402298	-0.269623492089395	-0.412501593843445	-0.200885079348236	-0.30857388620428	-0.225004558389488
SP140L	Other	0.275872011649905	0.23520303829903	0.269051932933164	-0.0915157427733956	0.237096288475454	0.0738153324910887	0.113592224209279
SPEG	Other	-0.508737888197972	-0.394290130007457	-0.296395929656679	-0.311769430407156	-0.333780948274999	-0.280982003405806	-0.319011308793842
