Gene	Category	DMSO	plasmid	PRMT5
HDGFRP3	Other	-0.469116352311509	-0.372467466601536	-0.531911681024257
HEATR1	Essential	-0.898560660958802	0.113785044882086	-0.641461339440814
HECTD2	Other	-0.00569283487405485	-0.00939291771631414	0.0291100936222132
HECTD3	Other	0.126197432545971	0.151175376157204	0.0356110915763631
HELLS	Other	0.46186883278563	0.0493902678825713	0.511833447812267
HERC2	Other	-0.418401609894535	-0.308419565333877	-0.395838182430335
HERC3	Other	0.45314542442017	0.127083183183676	0.443743091863122
HERC5	Other	0.221275243493682	0.137887117733389	0.297340555090307
HIRA	Other	-0.40295005283571	0.458539772892126	-0.365984051254291
HIST1H1B	Other	-0.529778879299972	-0.562673381138059	-0.709747403023895
HIST1H1E	Other	-0.709619228660319	-0.404449845061487	-0.810940209882017
HIST1H3B	Other	-0.509911285241693	0.130408597083679	-0.691581692711622
HIST1H4E	Other	0.464434577089724	0.410496212254387	0.338325589661695
HJURP	Other	-0.339761399315444	-0.0726657096686974	-0.165729665188121
HLTF	Other	0.255422915639649	0.0408872292464489	0.414268134361002
HMG20A	Other	-0.784591106191739	-0.481662351113203	-0.716647777287956
HMG20B	Other	-0.134282132262485	-0.443440728978615	-0.27147598499439
HMGN1	Other	-0.0596809372074951	0.039139960531262	-0.176925742373719
HMGN2	Other	0.344853618008909	0.574499616589967	0.334961987634416
HMGN3	Other	0.227680175116127	-0.0739275720492949	0.219881094487925
HMGN4	Other	0.342535065365892	0.131062533246834	0.33137035362269
HMGN5	Other	0.289361409362807	-0.0473202098553044	0.493885741921735
HNF1A	Other	-0.358787572318647	-0.310270977222937	-0.418078529115767
HNRNPU	Essential	-0.837437926117442	-0.174133511795243	-0.700874813494323
HRAS	Other	0.28102280058916	0.114041808113621	0.322455851974757
HSPA1A	Other	0.265187907580188	0.2095961574061	0.246802727667097
HSPA1B	Other	0.172854151377452	0.199845497139414	0.0903146438168245
HUS1	Other	-0.236138895309269	0.371182098134705	0.029146132012252
HUWE1	Other	-1.40051486500675	-0.223525149019874	-1.57342509104354
IDH1	Other	0.260267578702047	0.0852647769356429	0.0267302836202112
IKBKB	Other	-0.0291999796480565	0.0370899210154305	-0.121115010700532
IKZF1	Other	0.634026103922953	0.347705324939455	0.486455200976268
ING1	Other	-0.0948805862054891	0.0176639392041306	-0.0431809094511175
ING2	Other	0.0844948889169203	-0.192325273984894	0.0174640602745992
ING3	Other	-0.38871754353857	-0.189014880148579	-0.347779880733616
ING4	Other	0.667138182875723	0.694008746469491	0.733747779782953
ING5	Other	-0.126223287319588	-0.218436960171552	-0.153563532224753
INO80	Other	-1.04752376386405	-0.278427088841912	-1.25286089670963
INO80B	Other	-0.213838934648038	0.293883122447069	-0.455571185192713
